defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,2000 200 10 1000,0,19.97,2.51,16.2,1632
default,2000 200 10 1000,1,20.0,2.57,16.19,1632
default,2000 200 10 1000,2,20.71,2.49,16.64,1892
default,2000 200 10 1000,3,20.42,2.43,16.38,1488
default,2000 200 10 1000,4,22.45,2.48,17.34,1620
default,2000 200 10 1000,5,20.94,2.55,16.66,1700
default,2000 200 10 1000,6,19.32,2.66,16.07,1616
default,2000 200 10 1000,7,19.11,2.43,15.89,1568
default,2000 200 10 1000,8,20.97,2.58,16.77,1700
default,2000 200 10 1000,9,20.27,2.45,16.38,1572
default,2000 200 10 1000,10,20.59,2.57,16.6,1620
default,2000 200 10 1000,11,20.5,2.5,16.42,1700
default,2000 200 10 1000,12,22.48,2.5,17.41,1700
default,2000 200 10 1000,13,21.11,2.5,16.65,1568
default,2000 200 10 1000,14,20.56,2.45,16.63,1700
